Method,Weighted,Micro,Macro
Last Name,66.84410572052002,72.004578,55.539112
ZIP,66.26423597335815,69.310585,44.430969
BISG,78.97589802742004,79.96283,62.404739
BIFSG,80.86826801300049,81.435379,63.909084
ZRP,78.44290137290955,78.991028,59.883644
NamePrism,42.08824336528778,50.347496,19.565691
