Method,White,Black,Hispanic,Asian,Other
Last Name,80.22651672363281,32.869999,79.840591,81.78688,2.0110955
ZIP,81.44993185997009,56.581944,48.769924,25.05768,9.341177
BISG,86.04632019996643,73.549652,66.534798,71.279503,10.363785
BIFSG,87.39210367202759,77.636078,71.203217,74.320236,7.6036873
ZRP,85.01625061035156,75.611031,68.705742,58.217079,4.7925339
NamePrism,71.73157930374146,9.8490124,34.184349,21.360849,.028196812
