Method,White,Black,Hispanic,Asian,Other
Last Name,95.92378234863281,20.977831,76.745529,77.092926,1.0336838
ZIP,91.82436370849609,43.681694,61.86475,15.746344,5.6416087
BISG,90.53041839599609,66.852119,71.562294,68.522881,6.2890401
BIFSG,91.09201049804688,71.988083,72.601402,71.23027,6.2372785
ZRP,85.53141784667969,68.823311,69.289368,78.027863,2.6965654
NamePrism,89.11956787109375,5.6388326,30.532269,18.020527,.014166312
