Method,Black_White,Black_Hispanic,Black_Asian,Hispanic_White,Hispanic_Asian,Asian_White
Last Name,21.19711494445801,7.70925,3.7821259,13.487864,-3.9271243,17.414988
ZIP,21.23538017272949,3.1690419,1.3693653,18.066339,-1.7996765,19.866014
BISG,23.40028190612793,.2673761,1.3109628,23.132904,1.0435867,22.089317
BIFSG,24.61208724975586,-.58690208,2.6183293,25.19899,3.2052314,21.993759
ZRP,25.1761589050293,1.3167663,9.4843264,23.859394,8.1675606,15.691833
NamePrism,22.887451171875,10.758631,6.7209568,12.12882,-4.037674,16.166494
BIRDiE,27.3918373748971,8.7305412,2.7826631,18.661295,-5.9478784,24.609175
Real,28.61477088928223,10.985866,7.2564282,17.628904,-3.7294371,21.358343
