Method,White,Black,Hispanic,Asian,Other
Last Name,68.99137878417969,76.326012,83.331573,87.390724,39.726028
ZIP,73.42188262939453,80.570313,40.423607,61.555866,27.291666
BISG,82.31285858154297,82.379913,63.79948,75.720085,30.130405
BIFSG,84.06105041503906,84.642464,70.169083,78.236938,9.8558807
ZRP,84.71974945068359,84.340492,68.727051,51.165836,21.72373
NamePrism,57.2136344909668,27.585823,13.071222,13.216571,0
