Method,Black,Hispanic,Asian,White
Last Name,36.22421646118164,28.514967,32.442089,15.027102
ZIP,34.62728500366211,31.458242,33.257919,13.391903
BISG,34.45903778076172,34.191662,33.148075,11.058759
BIFSG,34.96563339233398,35.552536,32.347305,10.353546
ZRP,35.64257049560547,34.325806,26.158245,10.466413
NamePrism,39.22048950195313,28.461859,32.499535,16.333038
Real,37.45928192138672,26.473417,30.202854,8.8445129
