Method,White,Black,Hispanic,Asian,Other,Distance
Last Name,77.49276733398438,6.7587323,8.5891848,7.0932288,.066084579,27.189508
ZIP,70.70820617675781,12.875853,13.715403,2.1593792,.54116011,19.695803
BISG,63.4715690612793,19.681511,8.376421,7.9132948,.55720425,8.3987141
BIFSG,62.22222900390625,20.650991,7.6438708,7.8281207,1.6547872,6.7802119
ZRP,59.16637420654297,20.28373,7.6255746,12.599476,.32484344,6.5439048
NamePrism,83.43987274169922,3.3607533,7.1728506,6.0145507,.011975958,34.051445
Real,56.39132308959961,23.667881,8.9470301,8.4679985,2.528012,
